rep,fold,obs_AUC,obs_TSS,obs_PR,neu_AUC,neu_TSS,neu_PR,sin_AUC,sin_TSS,sin_PR,ale_AUC,ale_TSS,cambio_decil,cor_vias_obs,cor_vias_neu
8,4,0.908561001354684,0.684965363691918,0.0409900932749446,0.863350256193297,0.622035828600488,0.040019684807504,0.880567770498669,0.658013999820515,0.031978736413354,0.893739971588843,0.662581671380466,40.9300032862307,-0.526822730171351,-0.0255843856035083
8,5,0.774789681922622,0.408567297978837,0.01700147004866,0.683738999520454,0.312980158087208,0.00658976995844728,0.713621551425101,0.356089315249033,0.0139185157343258,0.889761639100376,0.648017852454712,35.2376455775889,-0.540142190162788,-0.0669529772854562
9,1,0.903100003678117,0.642846819402284,0.0843928711918486,0.847008248358009,0.592116424668194,0.0572723092533726,0.88158795856565,0.622343984727881,0.0673447229771554,0.885856794949354,0.619103107015993,39.9410464259396,-0.65143069180967,0.00798130586477259
9,2,0.842031254810233,0.578069485989147,0.0443933422345561,0.792463398253018,0.473630344188045,0.0518381886995657,0.832785634360124,0.543004186198175,0.0324422173956241,0.906183831223299,0.674844662482006,36.980166346769,-0.572262879595806,0.0139109917894785
9,3,0.89720429027283,0.619543841892097,0.100814519708664,0.860177042979071,0.559603837733444,0.0923981321653993,0.879394845851375,0.60501119952368,0.0849560889461671,0.907887151727597,0.682734762355301,40.5385628567247,-0.602527337366109,-0.268093520330704
9,4,0.913035089293727,0.711997282086127,0.0510225197902124,0.871340965714115,0.6219651030115,0.0526220824040338,0.879242680649393,0.633981401947839,0.034509813547747,0.897967877056835,0.665527964218034,42.589549786395,-0.560861162550776,-0.0496158532359882
9,5,0.774682300496184,0.416756015262842,0.0168363754540198,0.694336051125521,0.328388985003572,0.00621430314431185,0.719325815908545,0.348779222699835,0.0057670774596359,0.90463264943074,0.686549408845424,32.4834749763928,-0.532588376794689,-0.147464255126322
10,1,0.901575027459669,0.670408754207297,0.0726943389979909,0.856108018367507,0.616326657190106,0.0668252559496836,0.874840813253338,0.624615618727819,0.0671944119344653,0.903508596190998,0.657233131181528,34.5615327929256,-0.655392536532594,-0.0769360384467265
10,2,0.843752179329869,0.605681242024831,0.0383682044995126,0.813651275178917,0.51917716043449,0.0374868585896662,0.8301923496176,0.529951767306942,0.0365481387860214,0.895620280313825,0.655254670402895,35.0127959053103,-0.555699362857494,-0.166639852735688
10,3,0.89891801987022,0.634535057308354,0.110162496323828,0.865581780347715,0.571028554193753,0.0988670825393358,0.878381257056637,0.602265514606072,0.112497363806171,0.908756675853675,0.710195817209076,38.0360017561832,-0.606543910401896,-0.176171934938716
10,4,0.909792395823985,0.699042319970257,0.0500202145516761,0.883020303158507,0.650044230202177,0.0313114561528145,0.884358213356239,0.657031747456229,0.0304749680932023,0.886435589525968,0.647918426261139,36.4218827008379,-0.54001833451359,-0.144003243290626
10,5,0.778414348768349,0.426784081233641,0.0180996627392359,0.684250352591671,0.317229200353625,0.00610291058487148,0.718113425233711,0.339272024610192,0.00602849574038778,0.901022236237261,0.664609902314032,34.6081208687441,-0.553729697267641,-0.0652858304129826
