celda,x,y,era,amb,uni,prospcorr_mesozoico,incert_mesozoico
435997,-101529.40555308,-152516.645976301,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.984347581863403,0.0337508218631027
435998,-99528.6258672704,-152516.645976301,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.988778054714203,0.0273888351943257
436679,-129540.321154409,-154516.181431531,Cenozoico,Continental,Formación Mataula,0.879926800727844,0.0764377675779706
436697,-93526.2868098427,-154516.181431531,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.893659770488739,0.0362352164732894
436698,-91525.5071240335,-154516.181431531,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.933677732944489,0.0476330039229236
436699,-89524.7274382243,-154516.181431531,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.963975369930267,0.0107891098187575
436700,-87523.9477524151,-154516.181431531,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.946910500526428,0.0509091827594184
437393,-93526.2868098427,-156515.716886761,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.979211151599884,0.058745539245624
437394,-91525.5071240335,-156515.716886761,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.985710024833679,0.00745409190359538
437395,-89524.7274382243,-156515.716886761,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.955111861228943,0.0294527626315015
438089,-93526.2868098427,-158515.252341991,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.98407781124115,0.0751754601764843
438091,-89524.7274382243,-158515.252341991,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.897749781608582,0.0798737952018298
438093,-85523.1680666059,-158515.252341991,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.879013419151306,0.0821282500210685
438831,-1490.4212626185,-160514.787797221,Cenozoico,Sin dato,Unidad Carrizal,0.907494843006134,0.046434354042718
440181,-85523.1680666059,-164513.858707682,Mesozoico,Marino,Formación Condorsinga,0.960209131240845,0.0480849730184041
440182,-83522.3883807966,-164513.858707682,Mesozoico,Marino,Grupo Pucará - Formación Condorsinga,0.959104061126709,0.0488460236409118
440879,-81521.6086949874,-166513.394162912,Mesozoico,Marino,Grupo Pucará - Formación Condorsinga,0.977411091327667,0.0863533321881317
442273,-77520.049323369,-170512.465073372,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.98976993560791,0.0582117751246734
442277,-69516.9305801321,-170512.465073372,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.958458185195923,0.0309026643914094
442278,-67516.1508943229,-170512.465073372,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.946727752685547,0.0497363460094808
442974,-67516.1508943229,-172512.000528602,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.954586982727051,0.0920353039027383
442975,-65515.3712085136,-172512.000528602,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.923110485076904,0.0454388569954222
443662,-83522.3883807966,-174511.535983832,Cenozoico,Continental,Depósito glaciar,0.888432502746582,0.0550644513059034
443671,-65515.3712085136,-174511.535983832,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.962563693523407,0.0604787424487686
444353,-93526.2868098427,-176511.071439062,Cenozoico,Continental,Depósito fluvial,0.879878699779511,0.0652448128375044
444360,-79520.8290091782,-176511.071439062,Cenozoico,Continental,Depósito aluvial,0.906588971614838,0.0574226619513568
444362,-75519.2696375597,-176511.071439062,Mesozoico,Marino,Grupo Pucará - Formación Condorsinga,0.925701200962067,0.0603876557761063
444365,-69516.9305801321,-176511.071439062,Mesozoico,Marino,Grupo Pucará - Formación Condorsinga,0.979558944702148,0.0547516088651063
444367,-65515.3712085136,-176511.071439062,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.985557854175568,0.0833031449984742
449239,-65515.3712085136,-190507.819625673,Mesozoico,Marino,Grupo Pucará - Formación Condorsinga,0.915540993213654,0.088883319216319
449243,-57512.2524652768,-190507.819625673,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.877809762954712,0.0797994546487463
450628,-71517.7102659413,-194506.890536134,Mesozoico,Marino,Grupo Pucará - Formación Condorsinga,0.971185863018036,0.0830406475953947
