design,rep,fold,model,AUC,TSS,PR_AUC,Boyce
National,7,4,MaxEnt,0.880945757105678,0.602865988897578,0.0319520222204859,0.963262697049563
National,7,4,Random forest,0.895364055161686,0.655073011884463,0.0492266430149646,0.908553475645465
National,7,4,Gradient boosting,0.908057589005269,0.705047584860023,0.0499166668026071,0.966268204187762
National,7,5,Geological baseline,0.649244891090767,0.268987211008037,0.00331094205248772,0.842424242424242
National,7,5,MaxEnt,0.719430682706643,0.348152604502517,0.00455522047136458,0.972648869888103
National,7,5,Random forest,0.770724071599217,0.402942414195444,0.00836608978069193,0.828459134668166
National,7,5,Gradient boosting,0.78200945174034,0.417244260938497,0.00940928093594193,0.903030303030303
National,8,1,Geological baseline,0.790370545060902,0.470753126940477,0.0324352361709399,0.883333333333333
National,8,1,MaxEnt,0.87599610263822,0.607315919251626,0.052653422234144,0.905779260083296
National,8,1,Random forest,0.898449745741137,0.646854308337282,0.0937117976342228,0.966666666666667
National,8,1,Gradient boosting,0.903815469583774,0.659848158669647,0.0774661240370008,0.930095481830499
National,8,2,Geological baseline,0.78693779572132,0.495835477322718,0.0146394942480608,0.883333333333333
National,8,2,MaxEnt,0.827836709998813,0.523596134599182,0.0158751161473814,0.85282493560439
National,8,2,Random forest,0.857891750054503,0.564839893469644,0.0277369817525327,0.914651149978656
National,8,2,Gradient boosting,0.836348897596784,0.568045039798097,0.0240093966344845,0.802606768791356
National,8,3,Geological baseline,0.784453407407227,0.460190260976525,0.0330354386440711,0.8
National,8,3,MaxEnt,0.880352339294193,0.603520044185877,0.0871885005893669,1
National,8,3,Random forest,0.899025526741255,0.626431952797587,0.0939257527050253,0.97553355943236
National,8,3,Gradient boosting,0.903733553200559,0.619435413006731,0.114035239595965,0.978727925324904
National,8,4,Geological baseline,0.784135032456849,0.456905039678979,0.0085258654731436,0.920510149631295
National,8,4,MaxEnt,0.879216505771294,0.590919560860331,0.032444505168431,0.963262697049563
National,8,4,Random forest,0.899151827113328,0.652040785801892,0.0458826074438416,0.862921451283397
National,8,4,Gradient boosting,0.91838437968744,0.724045631893608,0.0619147883417599,0.917031607796029
National,8,5,Geological baseline,0.649244891090767,0.268987211008037,0.00331094205248772,0.842424242424242
National,8,5,MaxEnt,0.719219997629453,0.345800271634231,0.00456540165013228,0.963636363636364
National,8,5,Random forest,0.77109453752043,0.415708298762857,0.00777811572879022,0.933333333333333
National,8,5,Gradient boosting,0.783102295624601,0.440695548917541,0.0106308432219601,0.903030303030303
National,9,1,Geological baseline,0.790370545060902,0.470753126940477,0.0324352361709399,0.883333333333333
National,9,1,MaxEnt,0.874503436154738,0.605439141945753,0.0507074561578227,0.890909090909091
National,9,1,Random forest,0.892413342478142,0.629389309949163,0.0762124323031762,0.983333333333333
National,9,1,Gradient boosting,0.900779508416037,0.657249604963006,0.0599362758411127,0.910877033247062
National,9,2,Geological baseline,0.78693779572132,0.495835477322718,0.0146394942480608,0.883333333333333
National,9,2,MaxEnt,0.826374242221481,0.517213171916849,0.0160194017612562,0.896358126979083
National,9,2,Random forest,0.858622905408759,0.600075769998473,0.0294199897683769,0.875383982899293
National,9,2,Gradient boosting,0.841838688437662,0.579647085211091,0.033044248508576,0.780502314648453
National,9,3,Geological baseline,0.784453407407227,0.460190260976525,0.0330354386440711,0.8
National,9,3,MaxEnt,0.882247705714859,0.608559848282173,0.0851018063565618,1
National,9,3,Random forest,0.893391613490412,0.616386791060415,0.086173705556345,0.987878787878788
