rep,departamento,n_test_pres,base_AUC,base_TSS,base_PR,base_Boyce,base_rhoVias,all_obs_AUC,all_obs_TSS,all_obs_PR,all_obs_Boyce,all_obs_rhoVias,all_neu_AUC,all_neu_TSS,all_neu_PR,all_neu_Boyce,all_neu_rhoVias
1,Arequipa,64,0.736109347218695,0.396252698755398,0.0592517274115218,0.523809523809524,0.014993745453828,0.880008572517145,0.641196501143002,0.0671272447770765,0.861640436855329,-0.269505726020992,0.872892589535179,0.600802482854966,0.0681010200380486,0.80298537814383,0.0667948956675408
2,Arequipa,64,0.736109347218695,0.396252698755398,0.0592517274115218,0.523809523809524,0.014993745453828,0.870981632588265,0.635279083058166,0.0633472533041648,0.798795337648027,-0.328775131811127,0.883975842170434,0.611736410972822,0.0755488045337545,0.802606768791356,0.0682551317017124
3,Arequipa,64,0.736109347218695,0.396252698755398,0.0592517274115218,0.523809523809524,0.014993745453828,0.87626206502413,0.604541052832106,0.0757929410077341,0.861640436855329,-0.299879969377879,0.892021506699263,0.631393669037338,0.0978046772877301,0.847576732313555,0.0752502949705192
4,Arequipa,64,0.736109347218695,0.396252698755398,0.0592517274115218,0.523809523809524,0.014993745453828,0.883526876428753,0.642966567183134,0.0703739574084633,0.818558415012563,-0.278859367828584,0.880428268669037,0.617705422910846,0.0934649458496942,0.742387174159217,0.066456186417351
5,Arequipa,64,0.736109347218695,0.396252698755398,0.0592517274115218,0.523809523809524,0.014993745453828,0.877812857188214,0.638589027178054,0.0693747007440023,0.742387174159217,-0.264441867599855,0.877765728187706,0.598163258826518,0.0715702939071481,0.779199761307608,0.0690076673957698
6,Arequipa,64,0.736109347218695,0.396252698755398,0.0592517274115218,0.523809523809524,0.014993745453828,0.877266160782322,0.61808245491491,0.0530542121070916,0.950780326106683,-0.258280985580774,0.877224488823978,0.605064928879858,0.0576976148879446,0.824712989561529,0.0721344428866714
7,Arequipa,64,0.736109347218695,0.396252698755398,0.0592517274115218,0.523809523809524,0.014993745453828,0.89179876016002,0.667033115316231,0.0715709225911136,0.652375286752563,-0.234345870211388,0.893800502444755,0.64949120523241,0.0803884208784833,0.751784854257716,0.055375483546614
8,Arequipa,64,0.736109347218695,0.396252698755398,0.0592517274115218,0.523809523809524,0.014993745453828,0.880162361887224,0.590852806705613,0.0657880106028628,0.947590973798746,-0.255708404915516,0.879422684626619,0.587721456692913,0.0777234836658742,0.966091783079296,0.0619896368392046
9,Arequipa,64,0.736109347218695,0.396252698755398,0.0592517274115218,0.523809523809524,0.014993745453828,0.88264481997714,0.63000063500127,0.0638527910422344,0.889041343891963,-0.2630790944097,0.875573981616713,0.611442722885446,0.0675326027651953,0.924016426393698,0.0737240774493537
10,Arequipa,64,0.736109347218695,0.396252698755398,0.0592517274115218,0.523809523809524,0.014993745453828,0.871393391224282,0.609442468884938,0.0543160994182267,0.935495331442929,-0.314459437457172,0.86930384017018,0.599147510795022,0.0554101640787334,0.815532024677328,0.0608201289058834
