rep,scenario,n_test_pres,base_AUC,base_TSS,base_PR,base_Boyce,base_rhoVias,geotopo_AUC,geotopo_TSS,geotopo_PR,geotopo_Boyce,geotopo_rhoVias,all_obs_AUC,all_obs_TSS,all_obs_PR,all_obs_Boyce,all_obs_rhoVias,all_neu_AUC,all_neu_TSS,all_neu_PR,all_neu_Boyce,all_neu_rhoVias,desp_obs_neu
6,Test Costa,401,0.616724178773431,0.297755816439197,0.0175187313654446,0.566666666666667,-0.201567182775091,0.497157240785228,0.00149819416236774,0.0129533081738073,-0.085106776115209,-0.309360875840911,0.557951819616738,0.049959039371601,0.016038037254967,0.393939393939394,-0.538698403631849,0.576431573748522,0.13761598270108,0.0161450867913951,0.781818181818182,-0.216412484445705,53.7080934642736
6,Test Sierra,183,0.597388353853587,0.237053194311946,0.0019854020521693,0.6,-0.0934247923043779,0.584838760259314,0.136678474510469,0.00182381347012907,0.781818181818182,-0.126590479217955,0.597219133291584,0.182989876761422,0.00173362753182132,0.85106776115209,-0.159516673645591,0.622262455543785,0.222746730773358,0.00216716850977524,0.927272727272727,-0.121948324068287,42.1103438033712
6,Test Selva,115,0.541803720325118,0.0908802097364496,0.000855966950140392,0.642857142857143,-0.188436386639727,0.712311174773804,0.355734570375383,0.00233042944037844,0.83030303030303,-0.269783156655773,0.782761957014541,0.44923796413717,0.00326134401807141,0.927272727272727,-0.506182475923651,0.672771604978831,0.306957759219227,0.00207629175751591,0.648484848484848,-0.232569765187131,40.105706914994
6,"Train Costa only, test Sierra + Selva",298,0.582957845384375,0.157617194258474,0.00127444266561109,0.857142857142857,-0.255637399474999,0.674803680701911,0.251463640902522,0.00190480240009472,0.951515151515151,-0.445901314306945,0.717737479020552,0.363865742152034,0.00206054399364177,0.984806980761705,-0.756872903670941,0.660645293902682,0.261337758722113,0.00184094449997638,0.927272727272727,-0.369300115218968,52.6161602398147
7,Test Costa,401,0.616724178773431,0.297755816439197,0.0175187313654446,0.566666666666667,-0.201567182775091,0.49254922359726,0.0115859207075175,0.0130740630842975,-0.248484848484848,-0.312037077794641,0.562933229595516,0.0722092773490421,0.0185336303280353,0.46808726863365,-0.589592792552896,0.618874130201976,0.207337487240737,0.0189800769541069,0.890909090909091,-0.259443284924169,51.7754480892797
7,Test Sierra,183,0.597388353853587,0.237053194311946,0.0019854020521693,0.6,-0.0934247923043779,0.599217793345988,0.182128918633665,0.00170263761672962,0.866666666666667,-0.0547403135901323,0.573440301375582,0.129230534371994,0.0015885381018555,0.693012319795274,-0.110705747462214,0.592097178245605,0.160806396232415,0.00173217200362291,0.866666666666667,-0.0950658126612224,49.4689936873375
7,Test Selva,115,0.541803720325118,0.0908802097364496,0.000855966950140392,0.642857142857143,-0.188436386639727,0.700814081209358,0.332025930136035,0.00224904895491,0.757575757575757,-0.288155988287127,0.784734423629956,0.473038758314662,0.00315740901603376,0.948332648140901,-0.544580598892854,0.658207449849203,0.312878006364809,0.00194882598194018,0.515151515151515,-0.247883763484637,39.3771626297578
7,"Train Costa only, test Sierra + Selva",298,0.582957845384375,0.157617194258474,0.00127444266561109,0.857142857142857,-0.255637399474999,0.674230899662443,0.259980308109295,0.00188252916027428,0.963636363636364,-0.399744272555415,0.718817793574499,0.361072022099298,0.00204589884144627,1,-0.747491307974802,0.667579176532752,0.26536452197068,0.00181237795270981,0.951515151515151,-0.292995895613273,47.3157105872735
8,Test Costa,401,0.616724178773431,0.297755816439197,0.0175187313654446,0.566666666666667,-0.201567182775091,0.496929986133571,0.00904284313076698,0.0138509181110343,-0.139818275046415,-0.33854470783534,0.588658678751985,0.1175564470334,0.0203780748803564,0.656491137479638,-0.597606863594904,0.589316942461382,0.15908082449306,0.0180014626211555,0.917937370956898,-0.299618188833128,52.8614967829326
8,Test Sierra,183,0.597388353853587,0.237053194311946,0.0019854020521693,0.6,-0.0934247923043779,0.597715048912404,0.173792829649052,0.00174471547009727,0.915151515151515,-0.098174023803168,0.561795032869474,0.0744670863060226,0.00173783627765425,0.554888364320385,-0.2107937552484,0.610311972239943,0.198800608877001,0.0020062722537564,0.793939393939394,-0.149386278191598,30.3489235337788
8,Test Selva,115,0.541803720325118,0.0908802097364496,0.000855966950140392,0.642857142857143,-0.188436386639727,0.689890800594867,0.332778712276022,0.00219899547416159,0.684848484848485,-0.26795085439977,0.791180709327972,0.484551429891825,0.00339035565427596,0.951515151515151,-0.521302228839047,0.675441413530804,0.313570283393893,0.00216201756887981,0.648484848484848,-0.233930771604369,44.6888044358607
8,"Train Costa only, test Sierra + Selva",298,0.582957845384375,0.157617194258474,0.00127444266561109,0.857142857142857,-0.255637399474999,0.683386939976671,0.272345206140069,0.0018752023831162,0.975757575757576,-0.391866525970514,0.723328906983348,0.36602888870214,0.00217805595023212,0.987878787878788,-0.745913639362789,0.658733319427898,0.231733324874727,0.00172090176373738,0.939393939393939,-0.253371210186701,52.38792751056
9,Test Costa,401,0.616724178773431,0.297755816439197,0.0175187313654446,0.566666666666667,-0.201567182775091,0.484714010572457,0.010072744603526,0.0127944309002681,-0.175757575757576,-0.308971605180497,0.548878156491774,0.0528558619928603,0.0164904042450594,0.43030303030303,-0.551781691477811,0.563303711609096,0.09381863066937,0.0162786411533865,0.745454545454545,-0.212404206855885,51.5223274695535
9,Test Sierra,183,0.597388353853587,0.237053194311946,0.0019854020521693,0.6,-0.0934247923043779,0.601832918603751,0.158842446003867,0.00174712697378925,0.939393939393939,-0.150165573662945,0.568020101947717,0.0833480870415133,0.00170141185816491,0.658548827984633,-0.179770668972244,0.584471970067937,0.178226257991389,0.00186177327639368,0.757575757575757,-0.0960360434675341,36.831550802139
9,Test Selva,115,0.541803720325118,0.0908802097364496,0.000855966950140392,0.642857142857143,-0.188436386639727,0.689256373022496,0.339966171893651,0.00247069005943457,0.612121212121212,-0.273854916069544,0.777247888070473,0.451281996526295,0.00318546233643643,0.889637522752781,-0.504145296161721,0.673931359278801,0.307975394953272,0.00216025241594586,0.503030303030303,-0.283531158156891,34.8832819480274
9,"Train Costa only, test Sierra + Selva",298,0.582957845384375,0.157617194258474,0.00127444266561109,0.857142857142857,-0.255637399474999,0.678216205214932,0.270436824741898,0.00198671477456142,1,-0.353990378532127,0.72138539010193,0.359070358024224,0.00210513390178092,0.987878787878788,-0.73597327421049,0.660405799326351,0.248275689399261,0.00179309759895684,0.951515151515151,-0.199256021701824,55.0449652541218
10,Test Costa,401,0.616724178773431,0.297755816439197,0.0175187313654446,0.566666666666667,-0.201567182775091,0.546469959195184,0.050342748299357,0.0146479838291771,0.272727272727273,-0.344387153354153,0.56736523037218,0.094803586317258,0.0176508586920973,0.587878787878788,-0.524867260762068,0.613600144306062,0.179778248429529,0.0184240649268129,0.927272727272727,-0.244332630170523,48.4427894380501
10,Test Sierra,183,0.597388353853587,0.237053194311946,0.0019854020521693,0.6,-0.0934247923043779,0.575321521099998,0.13618489590954,0.00165260205449075,0.601826488243264,-0.0951052537292365,0.574027909463768,0.109703574835685,0.0016439564862428,0.489317228945049,-0.143747892463621,0.608811320963304,0.191782355247833,0.00203543496629438,0.903030303030303,-0.104715938427257,42.1888921888922
10,Test Selva,115,0.541803720325118,0.0908802097364496,0.000855966950140392,0.642857142857143,-0.188436386639727,0.700531842662619,0.345683384694233,0.0023433612421703,0.806060606060606,-0.255918694127194,0.776649790942522,0.470688312712316,0.00303794356489999,0.903030303030303,-0.491768398407248,0.668384354747215,0.310164420585536,0.0020435835205111,0.696969696969697,-0.229374681714954,36.500346064305
10,"Train Costa only, test Sierra + Selva",298,0.582957845384375,0.157617194258474,0.00127444266561109,0.857142857142857,-0.255637399474999,0.694400303383827,0.285519210098038,0.00209499823787096,0.975757575757576,-0.455999874254235,0.730383048972215,0.378022258033982,0.00216274880404065,0.975757575757576,-0.735023515411338,0.688340819977616,0.287667000250646,0.00197404740169977,0.975757575757576,-0.355564286291701,44.5156015805968
